 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13
61,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,1,25,47.361,84.962
62,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,1,24,47.361,84.962
63,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,13,47.361,84.962
64,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,6,47.361,84.962
65,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,1,47.841,82.242,1,6,47.361,84.962
66,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,1,47.841,82.242,1,5,47.361,84.962
67,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,4,47.361,84.962
68,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,3,47.361,84.962
69,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,1,3,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,2,47.361,84.962
70,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,2,4,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,2,47.361,84.962
71,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,1,2,53.761,63.681,5,8,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,2,47.361,84.962
72,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,1,2,53.761,63.681,6,9,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,1,47.361,84.962
73,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,1,1,53.761,63.681,4,8,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
74,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,2,4,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
75,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,1,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,1,2,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
76,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,1,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
77,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,2,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
